month,year,label,count,new_date,new_dt,monthly_perc
Jan,20,Neutral,19,Jan-20,2020-01-01,2.8358208955223883
Jan,20,Good,631,Jan-20,2020-01-01,94.17910447761194
Jan,20,Bad,20,Jan-20,2020-01-01,2.985074626865672
Feb,20,Neutral,14,Feb-20,2020-02-01,2.0202020202020203
Feb,20,Good,658,Feb-20,2020-02-01,94.94949494949495
Feb,20,Bad,21,Feb-20,2020-02-01,3.0303030303030303
Mar,20,Neutral,20,Mar-20,2020-03-01,3.3783783783783785
Mar,20,Good,550,Mar-20,2020-03-01,92.9054054054054
Mar,20,Bad,22,Mar-20,2020-03-01,3.7162162162162162
Apr,20,Bad,8,Apr-20,2020-04-01,4.3478260869565215
Apr,20,Good,171,Apr-20,2020-04-01,92.93478260869566
Apr,20,Neutral,5,Apr-20,2020-04-01,2.717391304347826
May,20,Neutral,5,May-20,2020-05-01,2.5906735751295336
May,20,Good,180,May-20,2020-05-01,93.26424870466322
May,20,Bad,8,May-20,2020-05-01,4.1450777202072535
Jun,20,Neutral,5,Jun-20,2020-06-01,1.9230769230769231
Jun,20,Good,248,Jun-20,2020-06-01,95.38461538461539
Jun,20,Bad,7,Jun-20,2020-06-01,2.6923076923076925
Jul,20,Good,269,Jul-20,2020-07-01,92.12328767123287
Jul,20,Neutral,11,Jul-20,2020-07-01,3.767123287671233
Jul,20,Bad,12,Jul-20,2020-07-01,4.109589041095891
Aug,20,Neutral,2,Aug-20,2020-08-01,0.8368200836820083
Aug,20,Good,228,Aug-20,2020-08-01,95.39748953974896
Aug,20,Bad,9,Aug-20,2020-08-01,3.7656903765690375
Sep,20,Neutral,4,Sep-20,2020-09-01,2.4691358024691357
Sep,20,Good,150,Sep-20,2020-09-01,92.5925925925926
Sep,20,Bad,8,Sep-20,2020-09-01,4.938271604938271
Oct,20,Neutral,5,Oct-20,2020-10-01,4.0
Oct,20,Bad,11,Oct-20,2020-10-01,8.8
Oct,20,Good,109,Oct-20,2020-10-01,87.2
Nov,20,Good,94,Nov-20,2020-11-01,93.06930693069307
Nov,20,Neutral,2,Nov-20,2020-11-01,1.9801980198019802
Nov,20,Bad,5,Nov-20,2020-11-01,4.9504950495049505
Dec,20,Bad,4,Dec-20,2020-12-01,5.882352941176471
Dec,20,Good,62,Dec-20,2020-12-01,91.17647058823529
Dec,20,Neutral,2,Dec-20,2020-12-01,2.9411764705882355
Jan,21,Bad,8,Jan-21,2021-01-01,11.764705882352942
Jan,21,Neutral,2,Jan-21,2021-01-01,2.9411764705882355
Jan,21,Good,58,Jan-21,2021-01-01,85.29411764705883
Feb,21,Good,62,Feb-21,2021-02-01,89.85507246376811
Feb,21,Neutral,4,Feb-21,2021-02-01,5.797101449275362
Feb,21,Bad,3,Feb-21,2021-02-01,4.3478260869565215
Mar,21,Bad,3,Mar-21,2021-03-01,3.260869565217391
Mar,21,Good,82,Mar-21,2021-03-01,89.1304347826087
Mar,21,Neutral,7,Mar-21,2021-03-01,7.608695652173913
Apr,21,Bad,2,Apr-21,2021-04-01,2.985074626865672
Apr,21,Neutral,1,Apr-21,2021-04-01,1.492537313432836
Apr,21,Good,64,Apr-21,2021-04-01,95.5223880597015
May,21,Good,37,May-21,2021-05-01,92.5
May,21,Bad,3,May-21,2021-05-01,7.5
Jun,21,Bad,2,Jun-21,2021-06-01,8.333333333333334
Jun,21,Good,22,Jun-21,2021-06-01,91.66666666666667
Jul,21,Bad,1,Jul-21,2021-07-01,4.3478260869565215
Jul,21,Good,22,Jul-21,2021-07-01,95.65217391304348
Aug,21,Good,17,Aug-21,2021-08-01,89.47368421052632
Aug,21,Bad,2,Aug-21,2021-08-01,10.526315789473685
Sep,21,Bad,1,Sep-21,2021-09-01,4.3478260869565215
Sep,21,Good,22,Sep-21,2021-09-01,95.65217391304348
Oct,21,Bad,2,Oct-21,2021-10-01,7.142857142857143
Oct,21,Good,24,Oct-21,2021-10-01,85.71428571428571
Oct,21,Neutral,2,Oct-21,2021-10-01,7.142857142857143
Nov,21,Bad,1,Nov-21,2021-11-01,9.090909090909092
Nov,21,Good,9,Nov-21,2021-11-01,81.81818181818181
Nov,21,Neutral,1,Nov-21,2021-11-01,9.090909090909092
Dec,21,Bad,3,Dec-21,2021-12-01,17.647058823529413
Dec,21,Good,13,Dec-21,2021-12-01,76.47058823529412
Dec,21,Neutral,1,Dec-21,2021-12-01,5.882352941176471
