title,review,rating,date,label
Ótimo custo benefício.,"Até agora estou amando o aparelho. Estou bem satisfeita, ainda mais com o ótimo custo benefício dele.Comprei dia 16 e chegou dia 21, entrega extremamente rápida.",5.0,25/10/2019,Good
Não recebi a versão global e produto veio sem nota.,"Adquiri o produto em 09/11, chegou hoje e para a minha surpresa sem nota fiscal e com o carregador que não é padrão brasileiro o que eu acredito que já configure que o produto não é a versão global. Estou bastante frustrado já que de acordo com a descrição do produto isso é propaganda enganosa.",1.0,14/11/2019,Bad
"Bom, bonito e barato. Porém sem nota fiscal!","Comprei o celular no sábado dia 26/10/19 e chegou na terça dia 30/10/19. Entrega muito antes do prazo estabelecido, um ponto positivo. O celular é muito lindo e funcional, gostei muito, dificilmente trocarei de marca. Um ponto negativo é o produto vir sem nota fiscal do vendedor.",5.0,31/10/2019,Good
"Bom, no prazo, carregador fora do padrão brasileiro. Sem nota fiscal","Chegou dentro do prazo, bem embalado. Tudo ok, não fosse por uma coisa, o carregador não é o padrão brasileiro(foto), sendo assim se faz necessário usar um adaptador. O manual só tem espanhol. Essas duas coisas mostram que essa versão deve ser feita para a America Latina em geral, não especificamente para o Brasil. Porém o celular tem todas as opções de linguagens, incluindo português BR.Outra coisa, não véi com nota fiscal. Só tenho o papel que veio na caixa do correio, com o id do pedido.",3.0,19/11/2019,Neutral
Celular acima das expectativas,"O celular superou totalmente minhas expectativas, antes estava muito receoso com a marca (devido ao hype da marca) e com o site em si por nunca ter utilizado antes, por causa que era acostumado a comprar celulares direto no site oficial da loja, mas quebrei a cara e estou gostando muito do celular, bateria dura mais que qualquer outro celular que já tive, e o sistema operacional é de longe um dos melhores que utilizei, fluido e completo, recomendo a compra e recomendo o vendedor, o prazo de entrega era de quase 1 mês e meio, mas o celular chegou em exatos 3 dias para minha surpresa, totalmente recomendado",5.0,29/10/2019,Good
Ótimo produto!,"Estou amando o celular e super recomendo, o meu produto chegou antes do prazo de entrega.",5.0,21/10/2019,Good
Ótimo Smartphone,"Primeiro smartphone da marca e não deixa nada a desejar, muito bem construído, recomendo.Entrega feita  menos de 2 dias de SP para o RS.",5.0,22/10/2019,Good
Produto fantástico,"Produto fantástico. Oferece muito por muito pouco. Dá um banho nos aparelhos nacionais. Chupa moto, Sammy e LG!!",5.0,22/10/2019,Good
Não é versão global é versão mexicana,"O PRODUTO NÃO É A VERSÃO GLOBAL. Está anunciada como versão global e conferi no site de autenticação e é a versão Mexicana e não é global. Que perda de tempo, agora vou devolver e ficar sem meu limite do cartão. Ainda fiz a pergunta pro vendedor sobre isso. Uma vergonha!",1.0,20/12/2019,Bad
Muito rápido e lindo,"Excelente aparelho, configuração maravilhosa, câmera muito boa, bateria dura muito, e além disso tudo a cor azul Neptuno linda...e a entrega foi muito rapida, chegou 5 dias antes do término do prazo.",5.0,29/10/2019,Good
Ótimo atendimento e eficácia máxima,Ele é maravilhoso.. chegou com 4 dias de antecedência! Atendimento incrível,5.0,26/10/2019,Good
Não veio com nota fiscal.,O celular é excelente. O ponto negativo fica por conta do vendedor que não mandou a nota fiscal. Fiz contato e espero que seja resolvido.,4.0,11/11/2019,Good
O celular é ótimo,O  frete expresso foi mais rápido do que eu imaginava chegou 4 dias antes e o celular é muito bom,5.0,22/11/2019,Good
Superou minhas Expectativas,"Celular simplesmente incrível, câmera ótima, processamento super rápido, funções boas, não vem muito aplicativo de fabrica adorei isso, super recomendo.",5.0,22/10/2019,Good
Melhor custo benefício,Celular muito bom,5.0,21/10/2019,Good
Carregador não é no padrão brasileiro.,O aparelho é bom só que o carregador veio em outro padrão isso tinha que ser avisado antes falta de respeito com o consumidor.,1.0,26/11/2019,Bad
Excelente aparelho e também excelente atendimento da Amazon!,"O celular é muito bom. A princípio veio com um aparente problema, pois desconectava da rede Wifi. Entrei em contato com o vendedor, que me forneceu outro aparelho. Excelente atendimento da Amazon e também do vendedor EOS IMPORT.",5.0,21/11/2019,Good
Há bateria,"Gostei muito do celular, veio com a capa mas a película talvez não tenha vindo. Mas queria saber pq  sendo 4000 malhanperes o celular descarregado com oito ou nove horas ele devia durar o dia todo por favor me expliquem",4.0,27/10/2019,Good
"Ótimo aparelho, muito rápido e bem barato","Smartphone muito bom recomendo muito pra quem não quer gastar muito e ter um celular beem rápido, excelente custo benefício, eu devia estar um pouco mais pois vi que o valor já baixou kkk mas de qlq forma muuuuito bom celular e a entrega chegou uns 3/4 dias antes do prazo... Parabéns ao vendedor pois me respondeu todas as vezes que eu questionei sobre o aparelho!",5.0,1/11/2019,Good
Ótima compra! Satisfeita com o produto e com a entrega.,"Muito satisfeita com a compra... Chegou antes do prazo, e veio tudo certinho. O celular veio acompanhado de nota fiscal e o carregador veio padrão brasileiro como podem visualizar na foto. O vendedor foi bem solicito e respondeu as dúvidas quando entrei em contato. Excelente custo-benefício, o desempenho do celular atendeu às minhas expectativas, sobretudo em relação às câmeras, de fato as fotos ficam com uma qualidade muito boa! Obrigada ao vendedor.",5.0,28/12/2019,Good
"Uma Versão 2.0 do Redmi note 7 que vale muito a pena comprar, otimo custo beneficio.","Redmi note 8 nada mais eh do que uma versão melhorada do note 7, porem com algo a mais. As Cameras principais e são praticamente a mesma coisa o que muda mesmo e a camera macro, com 4 GB de ram, o processador dele e uma leve atualização do snap 660 para 665 que ja ajuda para economia de bateria e não esquenta muito, a tela dele não amoled e sim lcd que para não mim não faz muita diferença, Porem no Geral ele supera boa parte dos intermediários que usam processadores parecidos ou ate mesmo iguais ao dele exemplo moto g8 plus entre outros, fora o seu preço acessível. Com a Black friday pode se achar otimas promoções, NO CONTEXTO GERAL ELE E ""TOP DE LINHA"" DOS INTERMEDIÁRIOS, FAIXA DE PREÇO DE MIL CONTO OTIMO CUSTO BENEFICIO.",5.0,5/11/2019,Good
"Aparelho Muito Bom, mas a experiência da compra...","Aparelho muito bom, mas a experiência da compra não foi nada positiva. O parceiro da AMAZON, não fornece Nota Fiscal, após negativa do mesmo, falou que poderia me enviar um recibo, o que não ocorreu até a presente data. Na minha opinião a AMAZON precisa rever sua política de parcerias.",3.0,7/12/2019,Neutral
Excelente,"Celular muito bom, bonito, tem câmeras excelentes, leitor de digital e facial muito rápidos, a bateria dura bastante, além de ter uma tela incrível e diversas funções que não se encontram em outros smartphones.",5.0,25/10/2019,Good
Entrega rápida (5 dias),"Recebi o produto com 5 dias após a confirmação do pagamento (realizado por boleto a vista) Conforme anunciado. O celular é Versão Global (Português Brasil). A tomada não veio no padrão EU (mesmo utilizado no Brasil) e sim US (padrão americano com pinos achatados) o vendedor enviou junto um adaptador para o padrão EU (não gostei deste detalhe pois deveria ser informado na descrição do produto ou ter a opção de escolha. A case que acompanha é de excelente qualidade. Embalagem possibilita total segurança para o transporte e a caixa do produto veio 100% lacrada de fábrica. Recomendo o vendedor e a Amazon pela qualidade do serviço de venda e entrega muito rápida. Não tenho experiência com o pós venda ou serviço de garantia. (O celular anterior um Redmi Note 6, não apresentou qualquer problema em um ano de uso, também comprado pela Amazon.",5.0,8/11/2019,Good
Muito bom indico,"Gostei muito de comprar no Amazon, a rapidez com a entrega impressionante ,em.menos de 5 dias chegou, embalagem perfeita, e o aparelho lindo do jeito que pedi.Parabéns Amazon e chinaBR.",5.0,22/10/2019,Good
Ótimo o produto,"Produto de ótima qualidade e vendedor também 😀😁 enviou o aparelho , capinha , fone e película junto com o produto fiquei muito satisfeita com o resultado dos dois , super indico, demorou 2 dias para chegar no destinatário.",5.0,25/10/2019,Good
Carregador errado,"Produto chegou antes do prazo, porém algumas descrições vieram em espanhol e o carregador não veio padrão brasileiro. Gostaria de saber qual o posicionamento quanto a isso, se trocam o carregador ou como será feito....",1.0,3/12/2019,Bad
Prefiro smartphones de outras marcas.,"Comprei o celular pela ótima referência das pessoas em falarem muito bem do produto. Porém no primeiro dia de uso odiei a configuração que veio, sendo diferente do Android padrão utilizado.Quando eu tentei reconfigurar para ficar da forma que eu gostaria, o celular travou por uns 5 minutos, onde eu não podia tirar a bateria, desligar ou mexer nele. Após esse ocorrido , apesar da qualidade da câmera ser muito boa, ela também travou, por este motivo resolvi devolver o produto ao vendedor que mesmo recebendo o produto de volta, só solicitou o estorno quando eu mandei mensagem falando que liguei para o banco do Brasil e que tinham me dito que não haviam cancelado a compra.",1.0,13/01/2020,Bad
Muito bom,"Estou gostando muito do aparelho. O que me incomoda demais é o som de notificação do whatsapp, já silenciei no aplicativo, mas não há santo que faça as notificações silenciarem. De qualquer forma é um aparelho muito bom, ótimo custo benefício. Além de ser lindo demais. A bateria dura bastante (eu não jogo), as fotos/vídeos ficam ótimos, a resolução é muito boa. Vale muito a pena adquirir. Por fim, chegou antes do previsto, bem embalado.",4.0,5/11/2019,Good
A loja me mandou um aparelho defeituoso,"O produto veio com defeito na câmera e travou no primeiro dia de uso, consegui reiniciar depois de 1hora tentando. No mesmo dia em que comecei a usar, fui em uma loja física e coloquei película na tela e na câmera, antes de perceber o defeito na câmera e antes do aparelho travar. Entrei em contato com a loja e eles disseram pra que eu devolvesse o produto para a loja, enviei por correio junto com as películas. A loja disse que não vende acessórios e por isso não vai me ressarcir as películas que foram no aparelho. A loja não quis se responsabilizar pelo dinheiro que perdi com as películas que comprei, nem ao menos se desculpou pelo aparelho defeituoso enviado. Desapontada com o serviço da loja e com os defeitos do aparelho.",1.0,22/01/2020,Bad
Não é versão global,O aparelho é bom mas não é a versão global como descrito no anuncio.,3.0,27/11/2019,Neutral
Meu pedido veiu errado.,"Sobre o atendimento da Amazon ÓTIMO, sobre o Produto PÉSSIMO o produto veiu errado e só fiz essa compra pq confiei na AMAZON e tbm na rapidez da entrega.Escolhi o XIAOME NOTE 8 pelo ótimos elogios e velocidade de processamento.",1.0,1/01/2020,Bad
falta informações ou deixar claro na descrição,"note 8 original da Xiaomi, porém de origem mexicana, com carregador tipo ""dente"" ( ponta quadrada), com selo de qualidade mexicana. Guia, instruções em espanhol e contratos da conta Xiaomi para ter algums acessos no aparelho está em Inglês.Falta colocar na descrição a origem do produto informando o tipo de carregador que vem e o idioma na caixa e no guia/instrução de uso do aparelho.",4.0,29/11/2019,Good
Ruim e com muitas ressalvas.,"Recebi antes da data, o que foi uma grata surpresa. (Mas não foi dado baixa no app da Amazon ainda).O aparelho é lindo, porém há algumas configurações que você tem que pesquisar muito, caso nunca tenha usado um Xiaomi. Porém, já percebi MUITOS travamentos em alguns Apps e muitos na própria interface, o que fez eu baixar a nota na avaliação. E recentemente estou tendo problema em baixar o menu da parte superior da tela, o que me faz ter que reiniciar o aparelho para que essa função volte a funcionar. É uma pena eu não poder devolver pois acho q passou do prazo!",2.0,14/11/2019,Bad
Otimo custo benefício,"Muito bom . Câmera incrível. Celular rápido, bonito e leve, as vezes parece que perde o sinal de internet 4g, achei ruim por nao ter 4.5g sai de um Huawei que tinha para esse Xiaomi, mas é um otimo custo x beneficio. Não vir fone de ouvido também achei estranho, uma economia besta.",4.0,23/10/2019,Good
Precisa ser emitida Nota Fiscal da compra,Não gostei que não tive nenhuma Nota Fiscal do produto e mesmo questionando não obtive retorno.,1.0,6/12/2019,Bad
Ótima compra!,Tudo ok.Vendedor muito atencioso.Entregou em mãos antes do previsto.Recomendo.Com certeza compraria novamente.,5.0,22/10/2019,Good
"Ótimo, sem arrependimento!","Tudo no aparelho é mto bom. Claro que não dá pra rodar tudo da Play Store na qualidade gráfica máxima mas não deixa a desejar em nenhum aspecto, levando em consideração o preço. Algo que me incomodou muito foi o carregador ter vindo no padrão chinês, mas um plug resolve o problema.Ele é muito bonito mas sem uma boa película frontal, uma para a câmera e uma capa anti-impacto, sua beleza pode não durar por muito tempo.Para quem nunca usou a MIUI vai estranhar um pouco no início, mas logo vai se adaptar e perceber que é uma das interfaces mais fluida, bonita e intuitiva que existe.As fotos ficam excelentes, salvo alguns detalhes que vou deixar vocês descobrirem quando forem utilizar a câmera que é 95 de 0 a 100.Sem mais delongas, comprem sem medo mas protejam bem a tela, camera e o resto (rs rs) que terão um belo aparelho por um longo tempo.",5.0,19/11/2019,Good
Satisfeito,"Produto top, novo e lacrado, comprei pela Amazon prime ""loja china BR"" e a entrega foi efetuada bem antes do prazo, comprei na quinta feira a noite e recebi no sábado!",5.0,26/10/2019,Good
Arrependido - Aparelho fica dando reeboot toda hora,"Estou com o aparelho a um pouco mais de 2 meses, nesse meio tempo ele apresentou vários problemas como: ficar fazendo reeboot por horas, em média ele fica 3, 4 horas fazendo reeboot sozinho e isso já aconteceu 5, 6 vezes! E não é por deixar de acompanhar as atualizações do aparelho, é defeito mesmo! Sem contar a câmera e até mesmo lanterna que travaram e só voltaram a funcionar tempo depois. Se não tivesse esses problemas seria um bom aparelho por conter um bom processador, 4 GB de Ram, 64 GB de memória é uma boa configuração de aparelho hoje em dia, e a câmera é de muito boa qualidade, porém esses problemas recorrentes condenam o aparelho e você fica na mão vira e mexe, enquanto digito essa avaliação por exemplo é um desses momentos, o aparelho se descarregou reiniciando sozinho (o aparelho não dá mais sinal de vida a aproximadamente 4 dias). Com base na minha experiência nesse período não recomendaria o aparelho nem de graça, evitaria o grande risco de passar pelo o mesmo transtorno! Tive ótimas experiências com aparelhos da Samsung e Motorola, e me arrependo de ter adquirido esse Redmi Note 8. Em anexo as fotos das 4 telas que ficam em looping com ele reiniciando até se desligar.",1.0,19/03/2020,Bad
Veio com vários defeitos,"o aparelho está mesmo com vários defeitos e precisarei devolvê-lo: não atende ligações (só toca e não aparece a tela da ligação, de modo que eu preciso esperar tocar até o final e depois retornar pra pessoa); a bateria descarrega muito rápido quando o celular está sendo utilizado; e o principal problema, que é reinicializar automaticamente, sobretudo quando tento ouvir algum áudio ou assistir vídeo. Notei que a reinicialização é mais provável quanto mais fraca a bateria (abaixo de 30% é praticamente certo reiniciar com vídeo ou áudio, ou até sem nada mesmo). E de ontem pra hoje notei que ele reinicia infinitamente, de modo que preciso esperar o celular descarregar sozinho para poder carregá-lo de novo e voltar a usar. Estou usando esses dias de forma muito precária, muito dependente de carregador e quase que só para mensagens.",1.0,27/02/2020,Bad
Redmi Note 8,Parabéns Amazon. Chegou hoje. Menos de 11 dias aqui no Rio Grande do Sul. Aparelho lindo de mais gente😍.,5.0,18/11/2019,Good
Ótimo vendedor. A compra foi entregue sem pilantragem.,"Achei que faltou só um saco-bolha pra deixar mais seguro o produto.No mais está tudo certo. Chegou em 8 dias, bem rápido, já que eu moro em Bragança-PA. Vlw Start Magazine. Abraços.",5.0,31/10/2019,Good
Ótimo aparelho,"Produto com qualidade superior as marcas nacionais, super recomendo o produto. Sem pontos negativos até o momento.",5.0,7/11/2019,Good
"Os vendedores são excelentes, mas a entrega... 😠","Os vendedores foram nota 10 tanto no atendimento, quanto no suporte a perguntas. O produto é excelente, podem comprar sem medo. O problema todo foi a transportadora Jadlog que atrasou por 8 dias a entrega, sendo que o produto constava. De Macaé-RJ tive que ir buscar o produto no Rio das Ostras-RJ, a transportadora não fez a entrega e paguei um frete caríssimo de mais de 40 reais. Se constrangimento tivesse nome seria a minha confiança na entrega por intermédio dessa transportadora.",5.0,13/11/2019,Good
Recomendo,"Em âmbito geral, o produto é excelente. MiUi está me proporcionado uma experiência muito boa. Ademais, o dispositivo não apresenta travamentos  e sua bateria dura o dia inteiro tranquilamente. Entretanto, noto que em alguns pontos da tela, tenho dificuldades para selecionar, pois tenho que exercer um pouco mais de força. Ainda convém mencionar sobre o carregador, o mesmo carrega o aparelho com bastante velocidade.",5.0,5/11/2019,Good
5 estrelas,Entrega bem rápida e aparelho muito bom!,5.0,22/10/2019,Good
Minha avaliação do Redmi Note 8,"1° O smartphone chegou antes do prazo ( bem rapido, praticamente uma semana) obs: sou de Salvador-Ba.2° O smartphone chegou todo lacradinho, bem fechado.3° Ainda me mandaram um Fone e uma película, não sei se foi de brinde.4° O carregador veio no padrão brasileiro (certinho).5° Conferir no site da Xiaomi se o MEI do smartphone, se ele era original mesmo e global internacional de fabrica, e estava tudo certo.",5.0,8/12/2019,Good
Celular apresentou sinais de uso,"O celular chegou em bom estado, porém percebi que ele apresentou sinais de uso, como: carregador sem proteção como costuma vir de fábrica, faltaram algumas partes na embalagem do celular e estava amassada por dentro, não veio a película da tela que vêm de fábrica para evitar riscos, e além de tudo, o celular já havia sido configurado por alguém, e com isso tive que formatar para voltar a ser como de fábrica. Enfim, a impressão que tive foi que o celular não era novo. Até o momento não apresentou problemas. O vendedor enviou nota fiscal depois quando foi solicitado. Verifiquei o IMEI do celular e estava OK. O celular chegou em 2 dias após o pagamento do boleto.",1.0,1/03/2020,Bad
Experiência ruim,"Comprei o aparelho e em menos de dez dias de uso o mesmo apresentou falhas.Desligou por mais de uma hora... Apos isso a tela ficou embaçada de tempos em tempo.Não houve nenhuma queda ou atrito, sou sempre muito cuidadosa.Enviei de volta ao vendedor e aguardo a posição da assistencia técnica.Bastante frustada pela alta expectativa da nova marca no mercado",1.0,21/12/2019,Bad
Defeito na bateria!,"Eu e minha mãe compramos o mesmo aparelho. Ótimo custo benefício! Porém, um deles apresentou defeito na bateria com menos de uma semana de uso! Está complicado fazer a devolução com o vendedor...",3.0,17/12/2019,Neutral
Um dos melhores celulares com custo beneficio atualmente!,"O aparelho um perfeito desempenho em todas as funções. Para quem usa muito o celular no dia a dia a bateria consegue durar bastante, sem contar que ele não demora carregando. Eu mesmo mexo com imagens e vídeo, e esse aparelho consegue trazer um resultado bem profissional ainda mais com a tela Full HD.As câmeras são sensacionais, ainda mais se você tiver a Gcam, as imagem melhoram muito e trazem uma qualidade insana. A câmera chega bem perto do iphone 11, creio que bate de frente. Ainda mais com o android personalizado pela xiaomi, o que deixou o aparelho mais lindo.Para quem busca um celular com custo-beneficio, bonito, potente, que consegue realizar todas as suas tarefas de uma mameira calma, rodar bons games em qualidades altas esse é o celular.Algumas duvidas:- Demora pra chegar? Bem, eu moro no interior da Bahia, comprei o celular e demorou 10 dias ao todo para chegar em minha casa vindo de São Paulo. Em minha opinião chegou rapido!- Vem com capa? Sim, uma capa do tamanho ideal do aparelho",5.0,27/11/2019,Good
Atendimento do vendedor péssimo,"Primeira vez que comprei aqui, o celular chegou corretamente, e rápido. Mas veio com defeito fica bugando entrando e saindo de apps. Mandei msg pro vendedor e ele pediu pra mim resetar o celular de fabrica. Fiz mas mesmo assim continuou.Mandei msg novamente querendo saber qual seria o procedimento ele pediu q eu devolvesse o celular, mas não me explicou como isso funcionava, se iria trocar meu produto ou se ia cancelar a compra. Estou até agora esperando ele me responder.Péssimo atendimento do vendedor, pois é a primeira vez que compro aqui e não sei como funciona. Ele deveria ser mais atencioso e responder qual procedimento seria feito.O celular é bom, só não tive sorte. Mas repito o atendimento desse cliente é pessimo.",1.0,27/05/2020,Bad
É bom mas estou com um problema com a tela,O celular é muito bom porém estou tendo problemas com o acendimento da tela. Tem hora que clico no botão e a tela não acende.Um dia apareceu uma tela preta que tive que reiniciar para o telefone voltar ao normal.Não sei se o defeito é só no meu. Já entrei em contato com o vendedor para resolver o problema.No mais o celular é ótimo.,2.0,13/11/2019,Bad
Celular Xiaomi Note 8 64GB Rom 4GB Ram Dual Versão Global Space Black,"O aparelho nas primeiras semanas de uso apresentou um erro "" ocorreu um erro com com.google.android.ims. Fechar esse app agora?"" erro constante e trava o telefone toda vez que acontece e ainda não consegui resolver",3.0,12/12/2019,Neutral
Custo benefíco 10/10,"Primeiro parabéns ao vendedor, o produto chegou mais rápido que um míssil balístico intercontinental, comprei num dia chegou no outro (até porque moro no mesmo estado que a a loja), o celular é lindo, já vem até com capinha dentro da caixa, as câmeras são boas, mas de longe a melhor coisa dele é a bateria, a tela é muito boa também e o processamento é bem rápido, uma boa pedida para passar uns 2 ou 3 anos sem trocar de celular. O ponto baixa são alguns programas da MI que o sistema não deixa desinstalar, e a localização fica ligado direto mesmo com o GPS desativo. No mais, estou bem satisfeito.",4.0,2/02/2020,Good
Como esperado,"Comprei com o vendedor Vendas 45, o produto chegou dentro do prazo, lacrado e em perfeitas condições.Quando comprei não prestei atenção no anuncio e achei que tinha comprado a versão chinesa, a qual não desejava, porém me surpreendi, quando abri a caixa e vi que era nacional, ponto positivo para o vendedor.Além disso o produto veio com NFe tudo certinho!Sobre o smartphone, achei ele pesado, não é fino e não gostei da qualidade da camera.É possível perceber que é um smartphone chines, mais barato, devido aos acabamentos e embalagem.A cor do smartphone é bem bonita também(moonlight white), nas fotos parece existir uma cor rosa forte na parte inferior traseira do smartphone porém não é tao rosa assim em mãos.A bateria, sistema operacional, a ""velocidade"", o hardware e usabilidade do smartphone me agradaram bastante.Não vem com fone de ouvido mas acompanha uma capinha transparente (de silicone?).Um ótimo celular, recomendo a compra!",5.0,28/10/2020,Good
Perfeito,"Pft, um ótimo celular assim como seu antecessor.Vem com uma capa que ""protege"" a câmera e a tela, melhor que a do redmi note 7 que tive, o carregador não veio no padrão brasileiro mas isso pra mim não é um problema.Tá quem usa 2 chipes esse celular é uma boa pedida, já ué ele possui gaveta de chipes completa, ou seja, 2 chip's mais um cartão de memória",5.0,20/11/2019,Good
Após um mês de uso,"Eu tenho costume de usar muito celular jogando e acessando redes sociais constantemente entre outros aplicativos e vou te dizer a bateria e excelente de todos celulares que já tive esse sem duvidas e o melhor , uma das coisas que mais puxa a bateria do celular e sistema e a questão dos brilho e tempo em que a tela fica ativa , e isso em comparação a outros modelo e muito mais otimizado a gastar pouco, o que favorece uma bateria de longa duração.  Quando escuto apenas musicas ale consome ate 7% da bateria em  2:30 aproximadamente ,  e quase uns  20% em uso com vários aplicativos aberto nesse mesmo período  .Sobre a câmera e muito boa, ate mesmo a noite,  foi onde eu achei surpreendente pela qualidade . mas não entro em muitos detalhes já que e um recurso que eu pouco uso.",5.0,5/12/2019,Good
DEU RUIM,"Referente a entrega, foi antes do prazo.Sobre o celular: DECEPCIONANTE.Na primeira semana já deu problema no áudio (chiados), NÃO consigo fazer e nem receber ligações.NÃO me enviaram nota fiscal e sem a mesma NÃO tem como ir na assistência técnica autorizada.",1.0,20/12/2019,Bad
Valeu a pena demaaaais,"Eu amei o aparelho. Única coisa ruim foi ué por conta do feriado o item demorou um pouco de chegar, mas não foi tanto pois comprei na quinta e na segunda eu já recebi o rosto. Ainda ganhei de brinde um fone e uma película. Amei muito! Além do preço ser muito bom o aparelho também é incrível! Vale muito a pena comprar com este vendedor, atendimento rápido, entrega ágil e atenção total ao cliente.",4.0,20/11/2019,Good
Ponto para bateria e processador,"O Xiaomi Redmi Note 8 é um aparelho celular que não perde pras grandes das marcas em nada: toque da tela muito sensível, peso do aparelho é bom (não dá pra correr mto tempo com ele na mão, ideal ter um acessório para gruda-lo ao corpo durante a atividade), fácil redirecionamento de navegador (links externos), bastante espaço de memória, cores e opções de leitura, durabilidade da bateria, não trava (software dedicado à otimização da memória), um arsenal de planos de fundo, conta MI inteligente e que aglutina todas informações em nuvem e ainda adquiri o redmi band4 que sincroniza no aparelho e reconhece todos meus movimentos (registros vitais) ao longo do dia",5.0,1/09/2020,Good
